N. amostra,Dia,H:min:seg:ms,Desl.ver.(mm),Carga nor.(KPa)
95,25/8/22,17:23:38:405,109.2,195.2
96,25/8/22,17:23:39:405,110.2,196.2
97,25/8/22,17:23:40:405,111.2,197.2
98,25/8/22,17:23:41:406,112.2,198.2
99,25/8/22,17:23:42:406,113.2,199.2
100,25/8/22,17:23:43:406,114.2,200.2
101,25/8/22,17:23:44:406,115.2,201.2
102,25/8/22,17:23:45:406,116.2,202.2
103,25/8/22,17:23:46:406,117.2,203.2
104,25/8/22,17:23:47:407,118.2,204.2
105,25/8/22,17:23:48:407,119.2,205.2
106,25/8/22,17:23:49:407,120.2,206.2
107,25/8/22,17:23:50:407,121.2,207.2
108,25/8/22,17:23:51:407,122.2,208.2
109,25/8/22,17:23:52:407,123.2,209.2
110,25/8/22,17:23:53:407,124.2,210.2
111,25/8/22,17:23:54:407,125.2,211.2
112,25/8/22,17:23:55:408,126.2,212.2
113,25/8/22,17:23:56:408,127.2,213.2
114,25/8/22,17:23:57:408,128.2,214.2
115,25/8/22,17:23:58:408,129.2,215.2
116,25/8/22,17:23:59:408,130.2,216.2
117,25/8/22,17:24:0:408,131.2,217.2
118,25/8/22,17:24:1:409,132.2,218.2
119,25/8/22,17:24:2:409,133.2,219.2
120,25/8/22,17:24:3:409,134.2,220.2
121,25/8/22,17:24:4:409,135.2,221.2
122,25/8/22,17:24:5:409,136.2,222.2
123,25/8/22,17:24:6:409,137.2,223.2
124,25/8/22,17:24:7:409,138.2,224.2
125,25/8/22,17:24:8:409,139.2,225.2
126,25/8/22,17:24:9:410,140.2,226.2
127,25/8/22,17:24:10:410,141.2,227.2
128,25/8/22,17:24:11:410,142.2,228.2
129,25/8/22,17:24:12:410,143.2,229.2
130,25/8/22,17:24:13:410,144.2,230.2
131,25/8/22,17:24:14:410,145.2,231.2
132,25/8/22,17:24:15:410,146.2,232.2
133,25/8/22,17:24:16:410,147.2,233.2
134,25/8/22,17:24:17:410,148.2,234.2
135,25/8/22,17:24:18:411,149.2,235.2
136,25/8/22,17:24:19:411,150.2,236.2
137,25/8/22,17:24:20:411,151.2,237.2
138,25/8/22,17:24:21:411,152.2,238.2
139,25/8/22,17:24:22:411,153.2,239.2
140,25/8/22,17:24:23:411,154.2,240.2
141,25/8/22,17:24:24:411,155.2,241.2
142,25/8/22,17:24:25:411,156.2,242.2
143,25/8/22,17:24:26:412,157.2,243.2
144,25/8/22,17:24:27:412,158.2,244.2
145,25/8/22,17:24:28:412,159.2,245.2
146,25/8/22,17:24:29:412,160.2,246.2
147,25/8/22,17:24:30:412,161.2,247.2
148,25/8/22,17:24:31:413,162.2,248.2
149,25/8/22,17:24:32:413,163.2,249.2
150,25/8/22,17:24:33:413,164.2,250.2
151,25/8/22,17:24:34:413,165.2,251.2
152,25/8/22,17:24:35:414,166.2,252.2
153,25/8/22,17:24:36:414,167.2,253.2
154,25/8/22,17:24:37:414,168.2,254.2
155,25/8/22,17:24:38:414,169.2,255.2
156,25/8/22,17:24:39:414,170.2,256.2
157,25/8/22,17:24:40:414,171.2,257.2
158,25/8/22,17:24:41:415,172.2,258.2
159,25/8/22,17:24:42:415,173.2,259.2
160,25/8/22,17:24:43:415,174.2,260.2
161,25/8/22,17:24:44:415,175.2,261.2
162,25/8/22,17:24:45:415,176.2,262.2
163,25/8/22,17:24:46:415,177.2,263.2
164,25/8/22,17:24:47:416,178.2,264.2
165,25/8/22,17:24:48:416,179.2,265.2
166,25/8/22,17:24:49:416,180.2,266.2
167,25/8/22,17:24:50:416,181.2,267.2
168,25/8/22,17:24:51:416,182.2,268.2
