N. amostra,Dia,H:m:s,Des.h.(mm),Car.cis.(KPa),Tensão nor.,Tensão cis.
41,25/8/22,17:23:47:407,132.2,304.2,1.53848,2.2919
42,25/8/22,17:23:48:407,133.2,305.2,1.54601,2.29943
43,25/8/22,17:23:49:407,134.2,306.2,1.55355,2.30697
44,25/8/22,17:23:50:407,135.2,307.2,1.56108,2.3145
45,25/8/22,17:23:51:407,136.2,308.2,1.56862,2.32204
46,25/8/22,17:23:52:407,137.2,309.2,1.57615,2.32957
47,25/8/22,17:23:53:407,138.2,310.2,1.58369,2.3371
48,25/8/22,17:23:54:407,139.2,311.2,1.59122,2.34464
49,25/8/22,17:23:55:408,140.2,312.2,1.59875,2.35217
50,25/8/22,17:23:56:408,141.2,313.2,1.60629,2.35971
51,25/8/22,17:23:57:408,142.2,314.2,1.61382,2.36724
52,25/8/22,17:23:58:408,143.2,315.2,1.62136,2.37477
53,25/8/22,17:23:59:408,144.2,316.2,1.62889,2.38231
54,25/8/22,17:24:0:408,145.2,317.2,1.63642,2.38984
55,25/8/22,17:24:1:409,146.2,318.2,1.64396,2.39738
56,25/8/22,17:24:2:409,147.2,319.2,1.65149,2.40491
57,25/8/22,17:24:3:409,148.2,320.2,1.65903,2.41245
58,25/8/22,17:24:4:409,149.2,321.2,1.66656,2.41998
59,25/8/22,17:24:5:409,150.2,322.2,1.6741,2.42751
60,25/8/22,17:24:6:409,151.2,323.2,1.68163,2.43505
61,25/8/22,17:24:7:409,152.2,324.2,1.68916,2.44258
62,25/8/22,17:24:8:409,153.2,325.2,1.6967,2.45012
63,25/8/22,17:24:9:410,154.2,326.2,1.70423,2.45765
64,25/8/22,17:24:10:410,155.2,327.2,1.71177,2.46518
65,25/8/22,17:24:11:410,156.2,328.2,1.7193,2.47272
66,25/8/22,17:24:12:410,157.2,329.2,1.72683,2.48025
67,25/8/22,17:24:13:410,158.2,330.2,1.73437,2.48779
68,25/8/22,17:24:14:410,159.2,331.2,1.7419,2.49532
69,25/8/22,17:24:15:410,160.2,332.2,1.74944,2.50286
70,25/8/22,17:24:16:410,161.2,333.2,1.75697,2.51039
71,25/8/22,17:24:17:410,162.2,334.2,1.76451,2.51792
72,25/8/22,17:24:18:411,163.2,335.2,1.77204,2.52546
73,25/8/22,17:24:19:411,164.2,336.2,1.77957,2.53299
74,25/8/22,17:24:20:411,165.2,337.2,1.78711,2.54053
75,25/8/22,17:24:21:411,166.2,338.2,1.79464,2.54806
76,25/8/22,17:24:22:411,167.2,339.2,1.80218,2.5556
77,25/8/22,17:24:23:411,168.2,340.2,1.80971,2.56313
78,25/8/22,17:24:24:411,169.2,341.2,1.81725,2.57066
79,25/8/22,17:24:25:411,170.2,342.2,1.82478,2.5782
80,25/8/22,17:24:26:412,171.2,343.2,1.83231,2.58573
81,25/8/22,17:24:27:412,172.2,344.2,1.83985,2.59327
82,25/8/22,17:24:28:412,173.2,345.2,1.84738,2.6008
83,25/8/22,17:24:29:412,174.2,346.2,1.85492,2.60833
84,25/8/22,17:24:30:412,175.2,347.2,1.86245,2.61587
85,25/8/22,17:24:31:413,176.2,348.2,1.86998,2.6234
86,25/8/22,17:24:32:413,177.2,349.2,1.87752,2.63094
87,25/8/22,17:24:33:413,178.2,350.2,1.88505,2.63847
88,25/8/22,17:24:34:413,179.2,351.2,1.89259,2.64601
89,25/8/22,17:24:35:414,180.2,352.2,1.90012,2.65354
90,25/8/22,17:24:36:414,181.2,353.2,1.90766,2.66107
91,25/8/22,17:24:37:414,182.2,354.2,1.91519,2.66861
92,25/8/22,17:24:38:414,183.2,355.2,1.92272,2.67614
93,25/8/22,17:24:39:414,184.2,356.2,1.93026,2.68368
94,25/8/22,17:24:40:414,185.2,357.2,1.93779,2.69121
95,25/8/22,17:24:41:415,186.2,358.2,1.94533,2.69874
96,25/8/22,17:24:42:415,187.2,359.2,1.95286,2.70628
97,25/8/22,17:24:43:415,188.2,360.2,1.96039,2.71381
98,25/8/22,17:24:44:415,189.2,361.2,1.96793,2.72135
99,25/8/22,17:24:45:415,190.2,362.2,1.97546,2.72888
100,25/8/22,17:24:46:415,191.2,363.2,1.983,2.73642
101,25/8/22,17:24:47:416,192.2,364.2,1.99053,2.74395
102,25/8/22,17:24:48:416,193.2,365.2,1.99807,2.75148
103,25/8/22,17:24:49:416,194.2,366.2,2.0056,2.75902
104,25/8/22,17:24:50:416,195.2,367.2,2.01313,2.76655
105,25/8/22,17:24:51:416,196.2,368.2,2.02067,2.77409
106,25/8/22,17:24:52:416,197.2,369.2,2.0282,2.78162
107,25/8/22,17:24:53:416,198.2,370.2,2.03574,2.78916
108,25/8/22,17:24:54:416,199.2,371.2,2.04327,2.79669
109,25/8/22,17:24:55:417,200.2,372.2,2.0508,2.80422
110,25/8/22,17:24:56:417,201.2,373.2,2.05834,2.81176
111,25/8/22,17:24:57:417,202.2,374.2,2.06587,2.81929
112,25/8/22,17:24:58:417,203.2,375.2,2.07341,2.82683
113,25/8/22,17:24:59:417,204.2,376.2,2.08094,2.83436
114,25/8/22,17:25:0:417,205.2,377.2,2.08848,2.84189
115,25/8/22,17:25:1:418,206.2,378.2,2.09601,2.84943
116,25/8/22,17:25:2:418,207.2,379.2,2.10354,2.85696
117,25/8/22,17:25:3:418,208.2,380.2,2.11108,2.8645
118,25/8/22,17:25:4:418,209.2,381.2,2.11861,2.87203
119,25/8/22,17:25:5:418,210.2,382.2,2.12615,2.87957
120,25/8/22,17:25:6:418,211.2,383.2,2.13368,2.8871
121,25/8/22,17:25:7:418,212.2,384.2,2.14122,2.89463
122,25/8/22,17:25:8:419,213.2,385.2,2.14875,2.90217
123,25/8/22,17:25:9:419,214.2,386.2,2.15628,2.9097
124,25/8/22,17:25:10:419,215.2,387.2,2.16382,2.91724
125,25/8/22,17:25:11:419,216.2,388.2,2.17135,2.92477
126,25/8/22,17:25:12:419,217.2,389.2,2.17889,2.9323
127,25/8/22,17:25:13:419,218.2,390.2,2.18642,2.93984
128,25/8/22,17:25:14:419,219.2,391.2,2.19395,2.94737
129,25/8/22,17:25:15:420,220.2,392.2,2.20149,2.95491
130,25/8/22,17:25:16:420,221.2,393.2,2.20902,2.96244
131,25/8/22,17:25:17:420,222.2,394.2,2.21656,2.96998
132,25/8/22,17:25:18:420,223.2,395.2,2.22409,2.97751
133,25/8/22,17:25:19:420,224.2,396.2,2.23163,2.98504
